fid,ORGANISATI,SUB_BUILDI,BUILDING_N,BUILDING_1,PRIMARY_TH,ALT_THORFA,SECONDARY_,LOCALITY,TOWNLAND,TOWN,COUNTY,POSTCODE,BLPU,UNIQUE_BUI,UPRN,USRN,LOCAL_COUN,X_COR,Y_COR,TEMP_COORD,BUILDING_S,ADDRESS_ST,CLASSIFICA,CREATION_D,COMMENCEME,ARCHIVED_D,ACTION_,UDPRN,POSTTOWN,xlong,ylat
"1",,,,"8",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116625","185537593","7859",COLERAINE,"284190","432472",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647851.781440575,6111970.61250037
"2",LUGANO CAFE,,,"8",WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186117432","185770298","35792",COLERAINE,"284472","432417",N,BUILT,APPROVED,ND_RETAIL,,,,,,COLERAINE,648134.468307261,6111919.66903568
"3",,,,"2",CASTLE LANE,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DR,,"186117349","185844537","7114",COLERAINE,"284420","432480",N,BUILT,APPROVED,,,,,,,COLERAINE,648081.584956167,6111981.90219778
"4",,,,"4",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116648","185537575","7859",COLERAINE,"284195","432460",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647856.951442773,6111958.68835593
"5",,,,"22",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116771","185536746","7204",COLERAINE,"284227","432604",N,BUILT,APPROVED,DO_SEMI,,,,,"3622839",COLERAINE,647886.878601621,6112103.09511307
"6",,,,"8",CARTHALL ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LR,,"186116106","185537467","7526",COLERAINE,"284065","432653",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623526",COLERAINE,647724.234905744,6112149.7585022
"7",,"2",,11B,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"187055804","185986606","35792",COLERAINE,"284472","432432",Y,UNDER CONSTRUCTION,PROVISIONAL,DO_APART,,,,,,COLERAINE,648134.253576879,6111934.66369409
"8",,FLAT 25,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770252","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622784",COLERAINE,648066.590298934,6111981.68746615
"9",,FLAT 10,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770237","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622769",COLERAINE,648066.590298934,6111981.68746615
"10",,FLAT 5,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770232","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622794",COLERAINE,648066.590298934,6111981.68746615
"11",,,,41A,CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186922031","185770184","7860",COLERAINE,"284216","432477",N,BUILT,APPROVED,DO_APART,,,,,"51099882",COLERAINE,647877.700594194,6111975.98291858
"12",,,,"34",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186116918","185535802","7860",COLERAINE,"284264","432436",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647926.270415537,6111935.68467272
"13",,,,"22",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117035","185535791","7860",COLERAINE,"284297","432433",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647959.301600836,6111933.15814885
"14",,,,"14",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983065","185534969","610",COLERAINE,"284048","432705",N,BUILT,APPROVED,DO_APART,,,,,"3620938",COLERAINE,647706.496552863,6112201.4965826
"15",,,,"14",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116891","185536738","7204",COLERAINE,"284258","432572",N,BUILT,APPROVED,DO_SEMI,,,,,"3622831",COLERAINE,647918.325650527,6112071.55030387
"16",,,,"17",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117004","185535785","7860",COLERAINE,"284282","432462",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621771",COLERAINE,647943.891800397,6111961.93308273
"17",,,,"17",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116353","185536741","7204",COLERAINE,"284123","432782",N,BUILT,APPROVED,DO_DETACHED,,,,,"3622834",COLERAINE,647780.36748045,6112279.54280132
"18",,,,"1",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186116145","185534956","610",COLERAINE,"284076","432750",N,BUILT,APPROVED,DO_TERRACE,,,,,"3620933",COLERAINE,647733.842352773,6112246.88137047
"19",,,,"3",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LY,,"186116721","185537550","7859",COLERAINE,"284215","432495",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623607",COLERAINE,647876.443272844,6111993.96218594
"20",,,,"10",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117253","185844517","7860",COLERAINE,"284377","432426",N,BUILT,APPROVED,,,,,,,COLERAINE,648039.373304436,6111927.30587167
"21",,,,"12",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116914","185536736","7204",COLERAINE,"284263","432566",N,BUILT,APPROVED,DO_SEMI,,,,,"3622829",COLERAINE,647923.409761796,6112065.62402039
"22",,,,"18",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116833","185536742","7204",COLERAINE,"284242","432588",N,BUILT,APPROVED,DO_SEMI,,,,,"3622835",COLERAINE,647902.102304297,6112087.31555106
"23",,,,"6",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186117012","185536750","7204",COLERAINE,"284287","432541",N,BUILT,APPROVED,DO_DETACHED,,,,,"3622847",COLERAINE,647947.759096723,6112040.9765041
"24",WATERSIDE OFF LICENCE,,,"10",WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186117418","185535700","35792",COLERAINE,"284466","432418",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621665",COLERAINE,648128.456128462,6111920.58278748
"25",,,,"13",LISLEA COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HN,,"186116892","185536717","14325",COLERAINE,"284258","432673",N,BUILT,APPROVED,DO_SEMI,,,,,"3622803",COLERAINE,647916.879769655,6112172.51430191
"26",,,,"70",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116223","185537592","7859",COLERAINE,"284092","432650",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623652",COLERAINE,647751.26822138,6112147.14609591
"27",,,,"12",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983061","185534967","610",COLERAINE,"284047","432730",N,BUILT,APPROVED,DO_APART,,,,,"3620936",COLERAINE,647705.139015011,6112226.47334704
"28",,,,"40",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116427","185537576","7859",COLERAINE,"284140","432569",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623636",COLERAINE,647800.410667153,6112066.86213653
"29",,,,7B,HAZELBANK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DU,,"187263621","187263622","14836",COLERAINE,"284119","432428",N,BUILT,APPROVED,DO_TERRACE,20-Jun-07,29-Apr-10,,,"50620669",COLERAINE,647781.436634635,6111925.61179925
"30",,,,"11",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LY,,"186116663","185537540","7859",COLERAINE,"284197","432527",N,BUILT,APPROVED,DO_SEMI,,,,,"3623597",COLERAINE,647857.991594842,6112025.69309849
"31",FAMILY SUPPORT OFFICE,,,7F,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186117018","185844495","7204",COLERAINE,"284289","432655",N,BUILT,APPROVED,ND_OTHER,,,,,"28252819",COLERAINE,647948.126403706,6112154.96450501
"32",,FLAT 8,BREEZEMOUNT HOUSE,"26",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116336","185536865","7204",COLERAINE,"284120","432689",N,BUILT,APPROVED,DO_APART,,,,,,COLERAINE,647778.699921553,6112186.53302479
"33",,FLAT 6,BREEZEMOUNT HOUSE,"26",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116336","185536864","7204",COLERAINE,"284120","432689",N,BUILT,APPROVED,DO_APART,,,,,,COLERAINE,647778.699921553,6112186.53302479
"34",,FLAT 3,BREEZEMOUNT HOUSE,"26",CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116336","185536863","7204",COLERAINE,"284120","432689",N,BUILT,APPROVED,DO_APART,,,,,,COLERAINE,647778.699921553,6112186.53302479
"35",,,,11A,WATERSIDE,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"187068474","186000292","15475",COLERAINE,"284472","432432",Y,NONE,REJECTED,,,,,,,COLERAINE,648134.253576879,6111934.66369409
"36",,,,"36",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116444","185537574","7859",COLERAINE,"284144","432560",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623633",COLERAINE,647804.538080676,6112057.92260843
"37",,,,"15",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983066","185534970","610",COLERAINE,"284059","432707",N,BUILT,APPROVED,DO_APART,,,,,"3620939",COLERAINE,647717.463996943,6112203.65334249
"38",,,,3A,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"187048229","185978642","35792",COLERAINE,"284487","432442",N,BUILT,APPROVED,ND_RETAIL,,,,,"3621679",COLERAINE,648149.105081942,6111944.87486384
"39",,,,10F,CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186922024","185770176","7860",COLERAINE,"284292","432445",Y,UNDER CONSTRUCTION,PROVISIONAL,ND_RETAIL,,,,,,COLERAINE,647954.131598246,6111945.0822954
"40",,,,"13",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LY,,"186116642","185537541","7859",COLERAINE,"284194","432534",N,BUILT,APPROVED,DO_SEMI,,,,,"3623598",COLERAINE,647854.892455897,6112032.64765616
"41",,,,"1",HAZELBANK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DU,,"186116439","185535827","14836",COLERAINE,"284143","432423",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621803",COLERAINE,647805.499652423,6111920.9571505
"42",,,,"29",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LY,,"186116550","185537549","7859",COLERAINE,"284171","432590",N,BUILT,APPROVED,DO_SEMI,,,,,"3623606",COLERAINE,647831.098985631,6112088.2984306
"43",ADRIAN CULBERTSON,"9",,"101",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186922027","185770179","7860",COLERAINE,"284292","432445",Y,UNDER CONSTRUCTION,PROVISIONAL,ND_COMM_OTHER,,,,,,COLERAINE,647954.131598246,6111945.0822954
"44",,,,"10",HAZELBANK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DU,,"186116620","185535828","14836",COLERAINE,"284189","432403",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621804",COLERAINE,647851.76955681,6111901.62278684
"45",,,,10J,CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186922028","185770180","7860",COLERAINE,"284292","432445",Y,UNDER CONSTRUCTION,PROVISIONAL,ND_COMM_OTHER,,,,,,COLERAINE,647954.131598246,6111945.0822954
"46",,,,"18",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983070","185534972","610",COLERAINE,"284069","432707",N,BUILT,APPROVED,DO_APART,,,,,"3620941",COLERAINE,647727.460429485,6112203.7965002
"47",,,,"11",LISLEA COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HN,,"186983117","185536716","14325",COLERAINE,"284255","432657",N,BUILT,APPROVED,DO_APART,,,,,"3622801",COLERAINE,647914.109890477,6112156.47705812
"48",,,,10G,CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186922025","185770177","7860",COLERAINE,"284292","432445",Y,UNDER CONSTRUCTION,PROVISIONAL,ND_RETAIL,,,,,,COLERAINE,647954.131598246,6111945.0822954
"49",,,,"19",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LY,,"186116590","185537544","7859",COLERAINE,"284182","432554",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623601",COLERAINE,647842.610423891,6112052.46873868
"50",,,,"9",CARTHALL TERRACE,,CARTHALL ROAD,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3EL,,"186116004","185536110","38160",COLERAINE,"284040","432688",N,BUILT,APPROVED,DO_TERRACE,,,,,"3622086",COLERAINE,647698.742774855,6112184.38812209
"51",,,,"30",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116472","185537571","7859",COLERAINE,"284152","432546",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623630",COLERAINE,647812.735645346,6112044.04212543
"52",,,,"28",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116479","185537570","7859",COLERAINE,"284154","432541",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623629",COLERAINE,647814.806509761,6112039.07253954
"53",,,,"1",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LY,,"186116730","185537539","7859",COLERAINE,"284217","432490",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623596",COLERAINE,647878.514137088,6111988.99259939
"54",,,,"39",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186116745","185535807","7860",COLERAINE,"284222","432468",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621793",COLERAINE,647883.827294011,6111967.07201962
"55",,,,"12",RIVERVIEW AVENUE,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3JA,,"186116873","185536939","11042",COLERAINE,"284253","432775",N,BUILT,APPROVED,DO_DETACHED,,,,,"3623000",COLERAINE,647910.421339215,6112274.40636327
"56",,,,24B,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186116643","185536755","7204",COLERAINE,"284194","432638",N,BUILT,APPROVED,DO_DETACHED,,,,,"3622842",COLERAINE,647853.403634495,6112136.61057472
"57",,,,"28",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186116999","185535796","7860",COLERAINE,"284281","432436",N,BUILT,APPROVED,DO_TERRACE,,,,,,COLERAINE,647943.264356738,6111935.92803389
"58",,,,"18",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117085","185535786","7860",COLERAINE,"284308","432433",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621676",COLERAINE,647970.297680954,6111933.31561782
"59",,,,"16",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117097","185535784","7860",COLERAINE,"284314","432433",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621770",COLERAINE,647976.295542917,6111933.40150998
"60",COLERAINE CARS LTD,,,"8",CASTLE LANE,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DR,,"186117375","185535765","7114",COLERAINE,"284441","432565",N,BUILT,APPROVED,ND_COMM_OTHER,,,,,,COLERAINE,648101.36065857,6112067.17254835
"61",,,,"13",RIVERVIEW AVENUE,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3JA,,"186116864","185536940","11042",COLERAINE,"284250","432793",N,BUILT,APPROVED,DO_DETACHED,,,,,"3623001",COLERAINE,647907.164722318,6112292.35699897
"62",SWEENEY TODDS CAFE,,,"2",WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186117462","185535680","35792",COLERAINE,"284491","432414",N,BUILT,APPROVED,DO_APART,,,,,"3621663",COLERAINE,648153.504487931,6111916.94209553
"63",,,,1D,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186922109","185770281","35792",COLERAINE,"284472","432432",Y,UNDER CONSTRUCTION,PROVISIONAL,ND_RETAIL,,,,,,COLERAINE,648134.253576879,6111934.66369409
"64",,,,"29",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186116857","185535797","7860",COLERAINE,"284248","432465",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621783",COLERAINE,647909.86097225,6111964.44528966
"65",,,,"41",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LY,,"186116284","185537558","7859",COLERAINE,"284108","432707",N,BUILT,APPROVED,DO_APART,,,,,"3623613",COLERAINE,647766.446517888,6112204.35481533
"66",,,,"16",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983067","185534971","610",COLERAINE,"284059","432707",N,BUILT,APPROVED,DO_APART,,,,,"3620940",COLERAINE,647717.463996943,6112203.65334249
"67",,WARDENS OFFICE,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3GZ,,"186850610","185536760","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,ND_HEALTH,,,,,,COLERAINE,648066.590298934,6111981.68746615
"68",,FLAT 24,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770251","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622783",COLERAINE,648066.590298934,6111981.68746615
"69",,FLAT 21,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770248","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622780",COLERAINE,648066.590298934,6111981.68746615
"70",,FLAT 7,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185770234","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622796",COLERAINE,648066.590298934,6111981.68746615
"71",,FLAT 32,HAZLETT COURT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HL,,"186850610","185536710","7204",COLERAINE,"284405","432480",N,BUILT,APPROVED,DO_APART,,,,,"3622792",COLERAINE,648066.590298934,6111981.68746615
"72",,,,10K,CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186922029","185770181","7860",COLERAINE,"284292","432445",Y,UNDER CONSTRUCTION,PROVISIONAL,ND_COMM_OTHER,,,,,,COLERAINE,647954.131598246,6111945.0822954
"73",,,,"2",CARTHALL TERRACE,,CARTHALL ROAD,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3EL,,"186116144","185536103","38160",COLERAINE,"284076","432689",N,BUILT,APPROVED,DO_TERRACE,,,,,"3622079",COLERAINE,647734.715615975,6112185.90313201
"74",,,,"5",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983058","185534960","610",COLERAINE,"284046","432761",N,BUILT,APPROVED,DO_APART,,,,,"3620948",COLERAINE,647703.695581099,6112257.44797058
"75",,,DEPOT,,CASTLEROCK ROAD,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HP,,"186117045","185844499","7204",COLERAINE,"284303","432794",N,BUILT,APPROVED,,,,,,,COLERAINE,647960.131516121,6112294.11538638
"76",,,,2C,WATERSIDE STREET,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DP,,"186922115","185770287","35792",COLERAINE,"284491","432414",N,BUILT,APPROVED,DO_APART,,,,,,COLERAINE,648153.504487931,6111916.94209553
"77",,,,"24",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116496","185537568","7859",COLERAINE,"284157","432531",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623627",COLERAINE,647817.948595085,6112029.11905215
"78",,,,"6",CARTHALL TERRACE,,CARTHALL ROAD,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3EL,,"186116079","185536107","38160",COLERAINE,"284055","432689",N,BUILT,APPROVED,DO_TERRACE,,,,,"3622083",COLERAINE,647713.723107562,6112185.60250141
"79",,,,"5",CARTHALL TERRACE,,CARTHALL ROAD,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3EL,,"186116092","185536106","38160",COLERAINE,"284060","432690",N,BUILT,APPROVED,DO_TERRACE,,,,,"3622082",COLERAINE,647718.707008046,6112186.67372335
"80",,,,"25",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LY,,"186116561","185537547","7859",COLERAINE,"284174","432573",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623604",COLERAINE,647834.34128082,6112071.34743931
"81",,,,"54",CAPTAIN STREET UPPER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3LZ,,"186116343","185537583","7859",COLERAINE,"284121","432606",N,BUILT,APPROVED,DO_TERRACE,,,,,"3623643",COLERAINE,647780.887766425,6112103.57694423
"82",,,,"8",RIVERVIEW AVENUE,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3JA,,"186116665","185536959","11042",COLERAINE,"284198","432785",N,BUILT,APPROVED,DO_DETACHED,,,,,"3623020",COLERAINE,647855.297787701,6112283.61542377
"83",,,,"1",CARTHALL TERRACE,,CARTHALL ROAD,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3EL,,"186116168","185536102","38160",COLERAINE,"284081","432689",N,BUILT,APPROVED,DO_TERRACE,,,,,"3622078",COLERAINE,647739.713832366,6112185.97471073
"84",,,,"17",LISLEA COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3HN,,"186116915","185536719","14325",COLERAINE,"284263","432691",N,BUILT,APPROVED,DO_SEMI,,,,,"3622807",COLERAINE,647921.620304054,6112190.57946444
"85",DIGITAL PAGE,,,,CASTLE LANE,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DR,,"186117426","185844549","7114",COLERAINE,"284469","432468",N,BUILT,APPROVED,ND_OTHER,,,,,,COLERAINE,648130.739290808,6111970.60792793
"86",,,,"9",CAPTAIN STREET LOWER,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3DT,,"186117040","185535818","7860",COLERAINE,"284302","432460",N,BUILT,APPROVED,DO_TERRACE,,,,,"3621802",COLERAINE,647963.913303775,6111960.22010358
"87",,,,"11",OLD MODEL COURT,,,,WATERSIDE,COLERAINE,LONDONDERRY,BT51 3AR,,"186983060","185534966","610",COLERAINE,"284047","432730",N,BUILT,APPROVED,DO_APART,,,,,"3620935",COLERAINE,647705.139015011,6112226.47334704
